service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2019/04/01 04:00:00+00,Rail,Blue Line,1474893,1474893,22,1777688,1777688,30,462
2019/04/01 04:00:00+00,Bus,Bus,7715777,7715777,22,8801806,8801806,30,463
2019/04/01 04:00:00+00,Commuter Rail,Commuter Rail,2655972,2655972,22,2689704,2689704,30,464
2019/04/01 04:00:00+00,Ferry,Ferry,113036,113036,22,118564,118564,30,465
2019/04/01 04:00:00+00,Rail,Green Line,4158917,4158917,22,5044398,5044398,30,466
2019/04/01 04:00:00+00,Rail,Orange Line,4492855,4492855,22,5225900,5225900,30,467
2019/04/01 04:00:00+00,Rail,Red Line,5637800,5637800,22,6497257,6497257,30,468
2019/04/01 04:00:00+00,Bus,Silver Line,823061,823061,22,995353,995353,30,469
2019/04/01 04:00:00+00,The RIDE,The RIDE,133386,133386,22,157672,157672,30,470
2019/05/01 04:00:00+00,Rail,Blue Line,1510954,1510954,23,1858843,1858843,31,471
2019/05/01 04:00:00+00,Bus,Bus,7884810,7884810,23,9148123,9148123,31,472
2019/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2777871,2777871,23,2702198,2702198,31,473
2019/05/01 04:00:00+00,Ferry,Ferry,129168,129168,23,139499,139499,31,474
2019/05/01 04:00:00+00,Rail,Green Line,3960256,3960256,23,4853219,4853219,31,475
2019/05/01 04:00:00+00,Rail,Orange Line,4528760,4528760,23,5354899,5354899,31,476
2019/05/01 04:00:00+00,Rail,Red Line,5681868,5681868,23,6705541,6705541,31,477
2019/05/01 04:00:00+00,Bus,Silver Line,850391,850391,23,1054740,1054740,31,478
2019/05/01 04:00:00+00,The RIDE,The RIDE,138460,138460,23,162453,162453,31,479
2019/06/01 04:00:00+00,Rail,Blue Line,1423295,1423295,20,1817989,1817989,30,480
2019/06/01 04:00:00+00,Bus,Bus,6970275,6970275,20,8430121,8430121,30,481
2019/06/01 04:00:00+00,Commuter Rail,Commuter Rail,2394520,2394520,20,2465906,2465906,30,482
2019/06/01 04:00:00+00,Ferry,Ferry,141620,141620,20,167104,167104,30,483
2019/06/01 04:00:00+00,Rail,Green Line,3661246,3661246,20,4628747,4628747,30,484
2019/06/01 04:00:00+00,Rail,Orange Line,4135346,4135346,20,5080673,5080673,30,485
2019/06/01 04:00:00+00,Rail,Red Line,4996532,4996532,20,6124291,6124291,30,486
2019/06/01 04:00:00+00,Bus,Silver Line,765614,765614,20,986733,986733,30,487
2019/06/01 04:00:00+00,The RIDE,The RIDE,121120,121120,20,150073,150073,30,488
2019/07/01 04:00:00+00,Rail,Blue Line,1595001,1595001,22,1986990,1986990,31,489
2019/07/01 04:00:00+00,Bus,Bus,7440844,7440844,22,8653636,8653636,31,490
2019/07/01 04:00:00+00,Commuter Rail,Commuter Rail,2625150,2625150,22,2669884,2669884,31,491
2019/07/01 04:00:00+00,Ferry,Ferry,121000,121000,22,150474,150474,31,492
2019/07/01 04:00:00+00,Rail,Green Line,3965521,3965521,22,4846481,4846481,31,493
2019/07/01 04:00:00+00,Rail,Orange Line,4532500,4532500,22,5350327,5350327,31,494
2019/07/01 04:00:00+00,Rail,Red Line,5580380,5580380,22,6558589,6558589,31,495
2019/07/01 04:00:00+00,Bus,Silver Line,825192,825192,22,1024590,1024590,31,496
2019/07/01 04:00:00+00,The RIDE,The RIDE,123486,123486,22,200568,200568,31,497
2019/08/01 04:00:00+00,Rail,Blue Line,1569038,1569038,22,1941946,1941946,31,498
2019/08/01 04:00:00+00,Bus,Bus,7338690,7338690,22,8720653,8720653,31,499
2019/08/01 04:00:00+00,Commuter Rail,Commuter Rail,2655004,2655004,22,2800661,2800661,31,500
2020/01/01 05:00:00+00,The RIDE,The RIDE,117180,117180,21,113900,113900,31,501
2020/02/01 05:00:00+00,Rail,Blue Line,1277354,1277354,19,1607164,1607164,29,502
2020/02/01 05:00:00+00,Bus,Bus,6745082,6745082,19,8235565,8235565,29,503
